Dist,District,Began Grade 9 in Washington,Transferred Into Washington,Year 1,Year 2,Year 3,Year 4,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 4-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate,Subgroup,F16,Number of Students Graduated in Less than Four Years,Class_of
14005,Aberdeen,134,15,2,0,1,2,23,126,99,22,78.571428571428569,3.9682539682539679,17.460317460317459,White,,,2016
21226,Adna,50,11,0,1,0,1,5,56,53,1,94.642857142857139,3.5714285714285712,1.7857142857142856,White,,,2016
29103,Anacortes,189,23,0,1,9,6,30,182,157,9,86.263736263736263,8.791208791208792,4.9450549450549453,White,,,2016
31016,Arlington,386,33,4,1,6,32,58,361,278,40,77.00831024930747,11.911357340720222,11.080332409972298,White,,,2016
02420,Asotin-Anatone,41,10,0,0,0,1,8,43,41,1,95.348837209302332,2.3255813953488373,2.3255813953488373,White,,,2016
17408,Auburn,611,56,5,3,13,61,60,607,501,24,82.53706754530478,13.509060955518946,3.9538714991762767,White,,,2016
18303,Bainbridge Island,290,28,0,2,0,3,25,293,274,14,93.515358361774744,1.7064846416382253,4.7781569965870307,White,,,2016
27931,Bates Technical College,60,5,0,0,3,4,0,65,0,58,0,10.76923076923077,89.230769230769241,White,,,2016
06119,Battle Ground,922,120,8,11,22,92,124,918,707,78,77.015250544662308,14.488017429193899,8.4967320261437909,White,,,2016
17405,Bellevue,699,89,1,1,8,16,97,691,627,38,90.738060781476122,3.7626628075253259,5.4992764109985526,White,,,2016
37501,Bellingham,625,64,1,3,10,36,84,605,514,41,84.958677685950406,8.2644628099173563,6.776859504132231,White,,,2016
27403,Bethel,783,77,5,7,12,43,118,742,622,53,83.827493261455515,9.0296495956873315,7.1428571428571423,White,,,2016
20203,Bickleton,,,,,,,,,,,n/a,n/a,n/a,White,,,2016
37503,Blaine,127,14,0,0,4,24,19,122,86,8,70.491803278688522,22.950819672131146,6.557377049180328,White,,,2016
18100,Bremerton,184,31,1,2,7,23,30,185,133,19,71.891891891891888,17.837837837837839,10.27027027027027,White,,,2016
24111,Brewster,9,7,1,0,1,1,3,13,10,0,76.923076923076934,23.076923076923077,0,White,,,2016
09075,Bridgeport,10,0,0,0,0,0,1,9,9,0,100,0,0,White,,,2016
29100,Burlington-Edison,159,14,0,0,3,6,11,162,137,16,84.567901234567898,5.5555555555555554,9.8765432098765427,White,,,2016
06117,Camas,398,58,2,5,2,11,48,408,363,25,88.970588235294116,4.9019607843137258,6.1274509803921564,White,,,2016
05401,Cape Flattery,5,1,0,0,0,0,0,6,6,0,100,0,0,White,,,2016
04228,Cascade,81,15,0,0,0,2,21,75,71,2,94.666666666666671,2.666666666666667,2.666666666666667,White,,,2016
04222,Cashmere,62,1,0,0,0,0,6,57,56,1,98.245614035087712,0,1.7543859649122806,White,,,2016
08401,Castle Rock,68,11,0,0,2,8,7,72,51,11,70.833333333333343,13.888888888888889,15.277777777777779,White,,,2016
18401,Central Kitsap,561,85,5,4,10,18,85,561,463,61,82.531194295900178,6.5953654188948301,10.873440285204991,White,,,2016
32356,Central Valley,836,96,1,2,25,24,82,850,743,55,87.411764705882362,6.1176470588235299,6.4705882352941186,White,,,2016
21401,Centralia,179,30,0,0,2,20,43,166,129,15,77.710843373493972,13.253012048192772,9.0361445783132535,White,,,2016
21302,Chehalis,214,9,0,1,1,19,12,211,179,11,84.834123222748815,9.9526066350710902,5.2132701421800949,White,,,2016
32360,Cheney,229,38,1,2,10,13,35,232,192,14,82.758620689655174,11.206896551724139,6.0344827586206895,White,,,2016
33036,Chewelah,74,30,1,2,5,4,30,74,59,3,79.729729729729726,16.216216216216218,4.0540540540540544,White,,,2016
16049,Chimacum,77,10,1,0,4,7,8,79,65,2,82.278481012658233,15.18987341772152,2.5316455696202533,White,,,2016
02250,Clarkston,184,50,2,4,9,22,27,207,136,34,65.700483091787447,17.874396135265698,16.425120772946862,White,,,2016
19404,Cle Elum-Roslyn,50,4,0,0,1,5,3,51,44,1,86.274509803921575,11.76470588235294,1.9607843137254901,White,,,2016
27400,Clover Park,225,68,1,4,5,4,133,160,138,8,86.25,8.75,5,White,,,2016
38300,Colfax,50,6,0,0,0,2,10,46,43,1,93.478260869565219,4.3478260869565215,2.1739130434782608,White,,,2016
36250,College Place,3,10,0,0,0,0,13,0,0,0,n/a,n/a,n/a,White,,,2016
38306,Colton,,,,,,,,,,,n/a,n/a,n/a,White,,,2016
33206,Columbia (Stevens),12,1,0,0,1,0,2,11,7,3,63.636363636363633,9.0909090909090917,27.27272727272727,White,,,2016
36400,Columbia (Walla Walla),45,5,0,0,1,5,6,44,34,4,77.272727272727266,13.636363636363635,9.0909090909090917,White,,,2016
33115,Colville,120,26,1,5,1,7,16,130,111,5,85.384615384615387,10.76923076923077,3.8461538461538463,White,,,2016
29011,Concrete,51,2,0,1,2,2,4,49,39,5,79.591836734693871,10.204081632653061,10.204081632653061,White,,,2016
13151,Coulee-Hartline,21,4,0,1,0,0,2,23,22,0,95.652173913043484,4.3478260869565215,0,White,,,2016
15204,Coupeville,64,11,0,1,1,2,12,63,59,0,93.650793650793645,6.3492063492063489,0,White,,,2016
05313,Crescent,12,10,1,1,0,2,5,17,9,4,52.941176470588239,23.52941176470588,23.52941176470588,White,,,2016
22073,Creston,,,,,,,,,,,n/a,n/a,n/a,White,,,2016
10050,Curlew,11,3,0,0,0,0,2,12,12,0,100,0,0,White,,,2016
26059,Cusick,18,3,0,0,1,0,5,16,14,1,87.5,6.25,6.25,White,,,2016
31330,Darrington,29,3,1,1,1,1,4,28,24,0,85.714285714285708,14.285714285714285,0,White,,,2016
22207,Davenport,36,8,0,0,0,0,8,36,35,1,97.222222222222214,0,2.7777777777777777,White,,,2016
07002,Dayton,22,2,0,0,0,0,5,19,15,4,78.94736842105263,0,21.052631578947366,White,,,2016
32414,Deer Park,154,13,0,2,3,11,11,156,137,3,87.820512820512818,10.256410256410255,1.9230769230769231,White,,,2016
32361,East Valley (Spokane),186,25,1,2,0,8,29,182,157,14,86.263736263736263,6.0439560439560438,7.6923076923076925,White,,,2016
39090,East Valley (Yakima),111,9,0,2,1,3,10,110,97,7,88.181818181818187,5.4545454545454541,6.3636363636363633,White,,,2016
09206,Eastmont,243,29,3,2,2,9,21,251,224,11,89.243027888446207,6.3745019920318722,4.3824701195219129,White,,,2016
19028,Easton,,,,,,,,,,,n/a,n/a,n/a,White,,,2016
27404,Eatonville,141,11,0,1,0,4,16,136,129,2,94.85294117647058,3.6764705882352944,1.4705882352941175,White,,,2016
31015,Edmonds,829,71,1,5,8,36,94,806,689,67,85.483870967741936,6.2034739454094296,8.3126550868486344,White,,,2016
32801,Educational Service District 101,17,6,1,4,7,8,3,20,0,0,0,100,0,White,,,2016
19401,Ellensburg,202,18,0,2,6,7,13,207,188,4,90.821256038647348,7.2463768115942031,1.932367149758454,White,,,2016
14068,Elma,116,13,0,0,3,5,15,114,96,10,84.210526315789465,7.0175438596491224,8.7719298245614024,White,,,2016
04127,Entiat,8,1,0,0,0,0,0,9,9,0,100,0,0,White,,,2016
17216,Enumclaw,289,22,2,2,6,11,23,288,249,18,86.458333333333343,7.291666666666667,6.25,White,,,2016
13165,Ephrata,128,11,1,1,4,2,14,125,115,2,92,6.4,1.6,White,,,2016
